model,prompt,object,total,fp,hallucination_rate
gpt-4o,misleading1,dog,38,1,0.02631578947368421
gpt-4o,misleading1,fence,17,2,0.11764705882352941
gpt-4o,misleading1,furniture,16,12,0.75
gpt-4o,misleading1,grass,33,1,0.030303030303030304
gpt-4o,misleading1,lamp,15,7,0.4666666666666667
gpt-4o,misleading1,leash,18,1,0.05555555555555555
gpt-4o,misleading1,motorcycle,17,0,0.0
gpt-4o,misleading1,mouse,17,3,0.17647058823529413
gpt-4o,misleading1,person,42,9,0.21428571428571427
gpt-4o,misleading1,plant,17,6,0.35294117647058826
gpt-4o,misleading1,road,15,9,0.6
gpt-4o,misleading1,shoe,19,6,0.3157894736842105
gpt-4o,misleading1,sign,11,6,0.5454545454545454
gpt-4o,misleading1,sofa,33,2,0.06060606060606061
gpt-4o,misleading1,table,23,7,0.30434782608695654
gpt-4o,misleading1,toy,20,3,0.15
gpt-4o,misleading1,traffic light,19,3,0.15789473684210525
gpt-4o,misleading1,tree,66,10,0.15151515151515152
gpt-4o,misleading1,truck,15,2,0.13333333333333333
gpt-4o,misleading1,window,13,9,0.6923076923076923
gpt-4o,mitigate1,bag,17,2,0.11764705882352941
gpt-4o,mitigate1,ball,39,0,0.0
gpt-4o,mitigate1,bicycle,34,0,0.0
gpt-4o,mitigate1,bird,20,0,0.0
gpt-4o,mitigate1,blanket,20,2,0.1
gpt-4o,mitigate1,books,18,1,0.05555555555555555
gpt-4o,mitigate1,bowl,18,2,0.1111111111111111
gpt-4o,mitigate1,building,11,6,0.5454545454545454
gpt-4o,mitigate1,bus,18,0,0.0
gpt-4o,mitigate1,car,34,0,0.0
gpt-4o,mitigate1,carpet,18,3,0.16666666666666666
gpt-4o,mitigate1,cat,19,0,0.0
gpt-4o,mitigate1,chair,37,1,0.02702702702702703
gpt-4o,mitigate1,collar,19,6,0.3157894736842105
gpt-4o,mitigate1,cup,14,0,0.0
gpt-4o,mitigate1,desk,16,1,0.0625
gpt-4o,mitigate1,dog,38,1,0.02631578947368421
gpt-4o,mitigate1,fence,17,2,0.11764705882352941
gpt-4o,mitigate1,furniture,16,12,0.75
gpt-4o,mitigate1,grass,33,1,0.030303030303030304
gpt-4o,mitigate1,lamp,15,6,0.4
gpt-4o,mitigate1,leash,18,1,0.05555555555555555
gpt-4o,mitigate1,motorcycle,17,0,0.0
gpt-4o,mitigate1,mouse,17,2,0.11764705882352941
gpt-4o,mitigate1,person,42,7,0.16666666666666666
gpt-4o,mitigate1,plant,17,4,0.23529411764705882
gpt-4o,mitigate1,road,15,9,0.6
gpt-4o,mitigate1,shoe,19,3,0.15789473684210525
gpt-4o,mitigate1,sign,11,7,0.6363636363636364
gpt-4o,mitigate1,sofa,33,1,0.030303030303030304
gpt-4o,mitigate1,table,23,6,0.2608695652173913
gpt-4o,mitigate1,toy,20,3,0.15
gpt-4o,mitigate1,traffic light,19,2,0.10526315789473684
gpt-4o,mitigate1,tree,66,7,0.10606060606060606
gpt-4o,mitigate1,truck,15,1,0.06666666666666667
gpt-4o,mitigate1,window,13,8,0.6153846153846154
gpt-5.1,baseline,bag,17,3,0.17647058823529413
gpt-5.1,baseline,ball,39,0,0.0
gpt-5.1,baseline,bicycle,34,0,0.0
gpt-5.1,baseline,bird,20,0,0.0
gpt-5.1,baseline,blanket,20,3,0.15
gpt-5.1,baseline,books,18,1,0.05555555555555555
gpt-5.1,baseline,bowl,18,2,0.1111111111111111
gpt-5.1,baseline,building,11,6,0.5454545454545454
gpt-5.1,baseline,bus,18,0,0.0
gpt-5.1,baseline,car,34,1,0.029411764705882353
gpt-5.1,baseline,carpet,18,3,0.16666666666666666
gpt-5.1,baseline,cat,19,0,0.0
gpt-5.1,baseline,chair,37,2,0.05405405405405406
gpt-5.1,baseline,collar,19,7,0.3684210526315789
gpt-5.1,baseline,cup,14,4,0.2857142857142857
gpt-5.1,baseline,desk,16,1,0.0625
gpt-5.1,baseline,dog,38,1,0.02631578947368421
gpt-5.1,baseline,fence,17,1,0.058823529411764705
gpt-5.1,baseline,furniture,16,10,0.625
gpt-5.1,baseline,grass,33,1,0.030303030303030304
gpt-5.1,baseline,lamp,15,6,0.4
gpt-5.1,baseline,leash,18,2,0.1111111111111111
gpt-5.1,baseline,motorcycle,17,0,0.0
gpt-5.1,baseline,mouse,17,3,0.17647058823529413
gpt-5.1,baseline,person,42,7,0.16666666666666666
gpt-5.1,baseline,plant,17,5,0.29411764705882354
gpt-5.1,baseline,road,15,10,0.6666666666666666
gpt-5.1,baseline,shoe,19,5,0.2631578947368421
gpt-5.1,baseline,sign,11,5,0.45454545454545453
gpt-5.1,baseline,sofa,33,2,0.06060606060606061
gpt-5.1,baseline,table,23,7,0.30434782608695654
gpt-5.1,baseline,toy,20,3,0.15
gpt-5.1,baseline,traffic light,19,2,0.10526315789473684
gpt-5.1,baseline,tree,66,8,0.12121212121212122
gpt-5.1,baseline,truck,15,0,0.0
gpt-5.1,baseline,window,13,9,0.6923076923076923
gpt-5.1,misleading1,bag,17,4,0.23529411764705882
gpt-5.1,misleading1,ball,39,0,0.0
gpt-5.1,misleading1,bicycle,34,0,0.0
gpt-5.1,misleading1,bird,20,0,0.0
gpt-5.1,misleading1,blanket,20,3,0.15
gpt-5.1,misleading1,books,18,1,0.05555555555555555
gpt-5.1,misleading1,bowl,18,0,0.0
gpt-5.1,misleading1,building,11,6,0.5454545454545454
gpt-5.1,misleading1,bus,18,0,0.0
gpt-5.1,misleading1,car,34,1,0.029411764705882353
gpt-5.1,misleading1,carpet,18,3,0.16666666666666666
gpt-5.1,misleading1,cat,19,0,0.0
gpt-5.1,misleading1,chair,37,2,0.05405405405405406
gpt-5.1,misleading1,collar,19,7,0.3684210526315789
gpt-5.1,misleading1,cup,14,4,0.2857142857142857
gpt-5.1,misleading1,desk,16,1,0.0625
gpt-5.1,misleading1,dog,38,1,0.02631578947368421
gpt-5.1,misleading1,fence,17,2,0.11764705882352941
gpt-5.1,misleading1,furniture,16,11,0.6875
gpt-5.1,misleading1,grass,33,1,0.030303030303030304
gpt-5.1,misleading1,lamp,15,6,0.4
gpt-5.1,misleading1,leash,18,2,0.1111111111111111
gpt-5.1,misleading1,motorcycle,17,0,0.0
gpt-5.1,misleading1,mouse,17,3,0.17647058823529413
gpt-5.1,misleading1,person,42,7,0.16666666666666666
gpt-5.1,misleading1,plant,17,4,0.23529411764705882
gpt-5.1,misleading1,road,15,11,0.7333333333333333
gpt-5.1,misleading1,shoe,19,6,0.3157894736842105
gpt-5.1,misleading1,sign,11,6,0.5454545454545454
gpt-5.1,misleading1,sofa,33,4,0.12121212121212122
gpt-5.1,misleading1,table,23,7,0.30434782608695654
gpt-5.1,misleading1,toy,20,3,0.15
gpt-5.1,misleading1,traffic light,19,3,0.15789473684210525
gpt-5.1,misleading1,tree,66,10,0.15151515151515152
gpt-5.1,misleading1,truck,15,1,0.06666666666666667
gpt-5.1,misleading1,window,13,9,0.6923076923076923
gpt-5.1,mitigate1,bag,17,2,0.11764705882352941
gpt-5.1,mitigate1,ball,39,0,0.0
gpt-5.1,mitigate1,bicycle,34,0,0.0
gpt-5.1,mitigate1,bird,20,0,0.0
gpt-5.1,mitigate1,blanket,20,1,0.05
gpt-5.1,mitigate1,books,18,1,0.05555555555555555
gpt-5.1,mitigate1,bowl,18,0,0.0
gpt-5.1,mitigate1,building,11,5,0.45454545454545453
gpt-5.1,mitigate1,bus,18,0,0.0
gpt-5.1,mitigate1,car,34,1,0.029411764705882353
gpt-5.1,mitigate1,carpet,18,3,0.16666666666666666
gpt-5.1,mitigate1,cat,19,0,0.0
gpt-5.1,mitigate1,chair,37,1,0.02702702702702703
gpt-5.1,mitigate1,collar,19,7,0.3684210526315789
gpt-5.1,mitigate1,cup,14,3,0.21428571428571427
gpt-5.1,mitigate1,desk,16,0,0.0
gpt-5.1,mitigate1,dog,38,1,0.02631578947368421
gpt-5.1,mitigate1,fence,17,1,0.058823529411764705
gpt-5.1,mitigate1,furniture,16,12,0.75
gpt-5.1,mitigate1,grass,33,1,0.030303030303030304
gpt-5.1,mitigate1,lamp,15,6,0.4
gpt-5.1,mitigate1,leash,18,1,0.05555555555555555
gpt-5.1,mitigate1,motorcycle,17,0,0.0
gpt-5.1,mitigate1,mouse,17,2,0.11764705882352941
gpt-5.1,mitigate1,person,42,8,0.19047619047619047
gpt-5.1,mitigate1,plant,17,3,0.17647058823529413
gpt-5.1,mitigate1,road,15,9,0.6
gpt-5.1,mitigate1,shoe,19,3,0.15789473684210525
gpt-5.1,mitigate1,sign,11,7,0.6363636363636364
gpt-5.1,mitigate1,sofa,33,2,0.06060606060606061
gpt-5.1,mitigate1,table,23,6,0.2608695652173913
gpt-5.1,mitigate1,toy,20,2,0.1
gpt-5.1,mitigate1,traffic light,19,3,0.15789473684210525
gpt-5.1,mitigate1,tree,66,9,0.13636363636363635
gpt-5.1,mitigate1,truck,15,0,0.0
gpt-5.1,mitigate1,window,13,7,0.5384615384615384
